BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	isolate	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	biomaterial_provider	cell_line	sex	tissue
SAMN08038200	SRX3402133	T47D_12h_population	919	339	SRR6301126	SRS2696118	T47D_12h_population	T47D_12h_population	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038199	SRX3402132	T47D_12h_H7	1073	408	SRR6301127	SRS2696117	T47D_12h_H7	T47D_12h_H7	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038196	SRX3402131	T47D_12h_G8	783	303	SRR6301128	SRS2696115	T47D_12h_G8	T47D_12h_G8	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038194	SRX3402125	T47D_12h_G10	1224	451	SRR6301134	SRS2696110	T47D_12h_G10	T47D_12h_G10	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038191	SRX3402126	T47D_12h_F12	784	302	SRR6301133	SRS2696111	T47D_12h_F12	T47D_12h_F12	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038192	SRX3402127	T47D_12h_F2	1050	384	SRR6301132	SRS2696112	T47D_12h_F2	T47D_12h_F2	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038197	SRX3402128	T47D_12h_H12	1237	459	SRR6301131	SRS2696114	T47D_12h_H12	T47D_12h_H12	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038198	SRX3402129	T47D_12h_H4	962	358	SRR6301130	SRS2696113	T47D_12h_H4	T47D_12h_H4	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038195	SRX3402130	T47D_12h_G5	1080	401	SRR6301129	SRS2696116	T47D_12h_G5	T47D_12h_G5	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038180	SRX3402113	T47D_12h_B5	1097	419	SRR6301146	SRS2696098	T47D_12h_B5	T47D_12h_B5	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
